Zone_ID,Precipitation,Humidity,Temperature,Wind,Num_Fires,Date
1.0,0.0,36.461536,19.667639,11.217339,0,20170325
2.0,0.0074602207,33.6507,19.151623,8.316687,0,20170325
3.0,0.00018810919,43.963783,19.665857,8.539039,0,20170325
4.0,0.0,42.644966,19.077837,13.190074,0,20170325
5.0,0.00042170612,38.337334,19.3747,9.552117,0,20170325
6.0,0.008622236,44.454292,18.428616,9.85889,0,20170325
7.0,0.024263611,45.223446,18.712732,10.522156,0,20170325
8.0,0.0054339594,42.604656,18.031115,14.408775,0,20170325
1.0,0.0,57.284054,15.942217,13.485256,0,20170326
2.0,0.0,61.39243,14.5265465,9.519296,0,20170326
3.0,0.0,76.71727,15.06166,11.496563,0,20170326
4.0,0.0,73.56936,15.125142,17.426294,0,20170326
5.0,0.0,46.114113,17.797697,9.558928,0,20170326
6.0,0.0,48.9146,18.092253,11.710248,0,20170326
7.0,0.0,61.604027,16.085375,15.3486805,0,20170326
8.0,0.0,71.44757,15.217165,16.227726,0,20170326
1.0,0.08928751,59.58126,12.438331,7.6745324,0,20170327
2.0,0.0055883396,58.88015,12.077386,7.86619,0,20170327
3.0,0.014472969,59.035553,14.387451,10.086211,0,20170327
4.0,0.012711908,58.398727,14.637941,10.304585,0,20170327
5.0,0.21244736,60.10474,12.084204,7.9115176,0,20170327
6.0,0.0,64.13092,12.604986,11.805171,0,20170327
7.0,1.6647856e-08,57.3475,14.503507,12.1544695,0,20170327
8.0,0.006099894,57.252922,14.235438,12.526967,0,20170327
1.0,2.8103392,55.116795,12.349709,17.317442,0,20170328
2.0,0.50329894,62.82452,10.286505,16.339346,0,20170328
3.0,8.546631,62.289524,12.695337,9.052586,0,20170328
4.0,14.209204,72.38232,10.963562,11.414497,0,20170328
5.0,3.5527906,57.678272,12.406987,12.232295,0,20170328
6.0,2.376996,61.565807,12.159116,17.34837,0,20170328
7.0,5.349476,60.865494,12.862345,11.657388,0,20170328
8.0,17.901917,71.60295,10.511994,14.170628,0,20170328
1.0,0.0,39.062393,15.929299,14.731063,0,20170329
2.0,0.0074602207,42.864307,14.022049,9.369088,0,20170329
3.0,0.23346515,60.22052,14.900034,9.919517,0,20170329
4.0,2.8512652,73.78164,12.664837,12.737596,0,20170329
5.0,0.00042170612,35.77927,16.163925,10.176473,0,20170329
6.0,0.0077338717,33.60365,15.754013,13.262502,0,20170329
7.0,0.108154155,47.76946,15.80858,13.304176,0,20170329
8.0,1.9653533,66.20454,13.585356,12.046636,0,20170329
1.0,0.0,37.47132,18.498316,8.737792,0,20170330
2.0,0.011939667,41.82139,16.225103,9.686746,0,20170330
3.0,0.009672894,66.346794,15.317304,11.507532,0,20170330
4.0,2.5483189,70.73481,14.6788645,16.9093,0,20170330
5.0,0.0,32.544712,18.81424,11.035879,0,20170330
6.0,8.461869e-06,30.788973,18.430046,15.156302,0,20170330
7.0,0.0006892486,48.791897,17.226025,16.462854,0,20170330
8.0,0.2927063,62.858994,15.866255,15.098459,0,20170330
1.0,0.0145160165,48.630013,19.47408,9.248819,0,20170331
2.0,0.007403007,50.615845,17.440172,6.8874536,0,20170331
3.0,0.012950841,71.41657,16.495398,10.148038,0,20170331
4.0,0.003150899,59.499138,16.8695,15.758208,0,20170331
