Date,Zone_ID,Precipitation,Humidity,Temperature,Wind,Num_Fires
2008-03-25,1,22.339806,65.80528,7.7309074,9.539081,0
2008-03-26,1,16.978067,75.89267,9.927811,8.074983,0
2008-03-27,1,5.139589,63.032867,12.678871,9.121183,0
2008-03-28,1,13.420406,87.03873,8.766089,5.7367206,0
2008-03-29,1,3.8974442,48.77815,16.070381,7.448781,0
2008-03-30,1,0.028635567,47.38515,15.696601,8.495491,0
2008-03-31,1,0.03015764,41.648354,17.13199,8.32468,0
2008-04-01,1,0.0,61.311737,13.299538,9.191945,0
2008-04-02,1,0.0,42.41825,15.67147,6.6256213,0
2008-04-03,1,8.62832,86.225,8.556136,7.957717,0
2008-04-04,1,0.9205585,60.178085,10.198629,9.396632,0
2008-04-05,1,3.3957596,76.500404,8.930531,9.287649,0
2008-04-06,1,1.9158645,54.64516,11.834018,12.523515,0
2008-04-07,1,0.0,28.239435,18.475475,7.051854,0
2008-04-08,1,0.13294746,67.88066,15.207095,4.596493,0
2008-04-09,1,2.047502,62.392426,15.820091,11.020078,0
2008-04-10,1,0.0010029571,43.864212,21.637945,12.233163,1
2008-04-11,1,0.11317035,49.82302,20.270987,8.314527,0
2008-04-12,1,0.012609853,56.201202,18.326899,14.495663,1
2008-04-13,1,0.0,60.65311,13.321963,6.855452,0
2008-04-14,1,0.0,43.85427,14.1108055,11.194316,0
2008-04-15,1,8.519864,51.76897,11.389538,16.656136,0
2008-04-16,1,7.770061,57.658215,12.767055,12.037751,0
2008-04-17,1,0.010001619,39.992542,17.7531,13.532251,0
2008-04-18,1,0.6615698,58.51078,16.856792,10.168271,0
2008-04-19,1,0.0,63.834526,20.331892,8.69507,0
2008-04-20,1,0.0,56.940228,21.091034,9.233744,1
2008-04-21,1,0.0,63.31959,17.174671,11.771488,0
2008-04-22,1,3.2323503,61.80744,13.948934,15.055897,0
2008-04-23,1,1.9149265,61.510414,13.371183,8.241,0
2008-04-24,1,0.46730387,52.362488,17.4303,6.6461687,0
2008-04-25,1,1.1510396,45.79796,16.494991,10.083942,0
2008-04-26,1,1.1922694,62.731155,11.041759,14.613977,0
2008-04-27,1,0.13336575,49.911472,13.417392,10.906047,0
2008-04-28,1,0.25801268,39.66138,15.717521,11.5653305,0
2008-04-29,1,0.0,35.54456,16.041445,8.305429,0
2008-04-30,1,0.0,36.672386,18.789602,7.1529126,0
2008-05-01,1,0.0,46.378246,21.00472,7.244599,1
2008-05-02,1,0.012609853,36.614613,21.265306,6.8212004,0
2008-05-03,1,0.01507882,37.485058,20.610481,8.717274,1
2008-05-04,1,0.01507882,34.834896,19.281752,11.555126,1
2008-05-05,1,0.0,33.190777,20.158695,7.4605713,0
2008-05-06,1,0.8422827,73.67218,13.730278,5.7042203,0
2008-05-07,1,1.4983108,53.91994,15.865104,8.644167,0
2008-05-08,1,0.0,39.532867,18.994362,8.965374,0
2008-05-09,1,0.0,41.21816,19.00992,8.268331,1
2008-05-10,1,4.853308e-07,42.435226,17.808926,10.283175,1
2008-05-11,1,0.08145882,51.555275,17.167671,7.372216,1
2008-05-12,1,3.7059984,69.78081,15.756124,6.583764,0
2008-05-13,1,1.4148173,65.85058,15.900771,8.549769,0
2008-05-14,1,2.3987226,67.62218,16.006918,7.2663174,0
2008-05-15,1,0.62132615,50.81927,19.593569,9.335321,0
2008-05-16,1,0.0,39.896038,22.1044,7.1551337,0
2008-05-17,1,0.0,53.334778,21.993258,7.281019,0
2008-05-18,1,0.0,37.42347,24.276129,10.064869,0
2008-05-19,1,0.0,70.18608,18.387815,8.078319,0
2008-05-20,1,2.736719,44.334183,18.873404,12.269969,0
2008-05-21,1,5.068196,61.52207,15.20664,11.4707,0
2008-05-22,1,14.775864,48.16562,18.33061,10.07358,0
2008-05-23,1,0.0,36.526787,20.77188,10.49374,0
2008-05-24,1,0.01507882,36.420174,23.178047,7.5884724,0
2008-05-25,1,0.0,35.37868,24.965702,6.259121,0
2008-05-26,1,0.0,30.72461,27.730534,5.3800817,0
2008-05-27,1,0.0,30.117886,27.611042,10.134514,3
2008-05-28,1,0.0,33.96323,28.505932,6.369009,0
2008-05-29,1,0.14028272,53.300243,23.01687,6.6923213,0
2008-05-30,1,0.24797781,49.82088,20.991983,12.403681,0
2008-05-31,1,0.020829618,41.88829,23.415964,9.482512,0
2008-06-01,1,0.0,37.524837,25.56217,5.7477756,0
2008-06-02,1,0.0,37.936493,25.710962,6.3674026,0
2008-06-03,1,0.0,48.55273,23.773642,7.530213,0
2008-06-04,1,3.2967021,62.831017,20.150927,13.567769,0
2008-06-05,1,0.4639486,47.265236,20.89908,11.851504,0
2008-06-06,1,6.938515,56.223827,18.51783,8.443346,0
2008-06-07,1,14.940345,79.60956,15.448433,8.105672,0
2008-06-08,1,3.1288679,55.338314,19.83248,9.164435,0
2008-06-09,1,0.38737822,44.078598,22.244026,6.6149983,0
2008-06-10,1,0.0,49.03521,23.260983,5.6074877,0
2008-06-11,1,0.0,47.034298,24.549515,9.809948,0
2008-06-12,1,0.013955326,38.67852,23.775723,9.429618,0
2008-06-13,1,16.17466,66.36978,19.007593,11.503655,0
2008-06-14,1,0.4658238,45.99097,20.637934,10.994337,0
2008-06-15,1,1.5696317,45.680805,20.483164,10.000392,0
2008-06-16,1,0.0,23.671381,25.350708,6.74273,0
2008-06-17,1,0.0,29.831734,28.737879,5.6990366,1
2008-06-18,1,0.0,24.36911,28.983992,8.530355,0
2008-06-19,1,0.0,55.639053,25.335213,6.8145256,0
2008-06-20,1,0.13852087,51.1729,26.426262,7.7713623,0
2008-06-21,1,0.0010029571,40.7883,27.444712,7.792644,0
2008-06-22,1,0.0,37.557934,28.541405,6.2076426,1
2008-06-23,1,0.01507882,38.59769,29.804937,6.91025,0
2008-06-24,1,0.0,32.196217,30.311323,6.7713776,2
2008-06-25,1,0.0,32.912712,30.80407,5.7307506,1
2008-06-26,1,0.0,33.14459,31.262712,6.0212855,1
2008-06-27,1,0.00022296794,47.458973,29.371735,7.350418,0
2008-06-28,1,0.96510315,40.926025,29.523254,6.563817,0
2008-06-29,1,1.3245574,38.055252,29.839268,7.02263,0
2008-06-30,1,0.4319462,49.270374,29.300646,10.284862,0
2008-07-01,1,0.20288889,42.969757,29.5047,7.2482033,0
2008-07-02,1,0.87625146,46.319614,29.458422,9.35098,0
2008-07-03,1,1.291054,38.294415,29.941498,10.24146,0
2008-07-04,1,0.0,30.062407,30.01866,9.511563,2
2008-07-05,1,0.0,48.134964,27.493422,12.122408,0
2008-07-06,1,0.0,46.821857,29.335684,8.466519,1
2008-07-07,1,0.0,27.251698,32.819984,8.2252,0
2008-07-08,1,0.0,36.426846,30.278519,9.5973625,1
2008-07-09,1,0.0,43.41226,27.669743,8.454459,0
2008-07-10,1,0.0,37.536526,28.62045,6.8583274,1
2008-07-11,1,0.0,38.30417,29.45306,6.6889043,0
2008-07-12,1,0.0,31.17227,30.314032,8.170723,2
2008-07-13,1,0.0,28.288086,32.59459,7.6478667,0
2008-07-14,1,0.0,39.757225,29.471203,10.968197,0
2008-07-15,1,0.0,24.353788,27.175173,8.507546,0
2008-07-16,1,0.0,31.699503,25.892406,11.898219,0
2008-07-17,1,0.0,40.853058,27.107464,11.377588,0
2008-07-18,1,0.0,36.521084,28.554155,11.284401,1
2008-07-19,1,0.010029588,47.6037,28.464773,9.85916,0
2008-07-20,1,0.0,48.47242,28.313072,11.530207,0
2008-07-21,1,0.0,37.269646,30.471169,11.439807,2
2008-07-22,1,0.813215,58.521805,24.509995,11.618805,1
2008-07-23,1,3.8940074,34.550053,23.343225,13.713418,1
2008-07-24,1,0.27654544,40.485977,23.54184,13.828958,0
2008-07-25,1,0.0,42.43366,24.733433,9.155,0
2008-07-26,1,0.0,40.594765,27.902084,10.660981,2
2008-07-27,1,0.055530313,47.181473,27.710623,9.970794,0
2008-07-28,1,1.0980664,46.653915,27.389452,10.009204,1
2008-07-29,1,0.35805044,38.351635,28.984596,6.8044515,0
2008-07-30,1,0.22633973,38.260944,28.944212,10.281436,1
2008-07-31,1,0.0,31.657198,29.985363,6.962783,1
2008-08-01,1,0.0,34.226364,30.53688,7.363654,0
2008-08-02,1,0.38124478,46.86824,29.900608,11.413006,1
2008-08-03,1,3.2219512,43.68272,30.001947,8.595475,1
2008-08-04,1,0.8581457,41.389957,30.33555,12.642788,1
2008-08-05,1,0.0,39.407528,30.350574,11.44774,2
2008-08-06,1,0.0,43.215794,31.254519,7.799035,2
2008-08-07,1,0.0,39.2455,31.558193,9.100871,1
2008-08-08,1,0.00013258631,33.22054,32.703808,11.531289,1
2008-08-09,1,0.0,41.89155,30.041407,10.968608,0
2008-08-10,1,0.0,40.700924,27.810207,8.506647,1
2008-08-11,1,0.0,39.928886,27.835148,9.205096,0
